County,Population
Alachua,269,956
Baker,28,355
Bay,185,287
Bradford,27,732
Brevard,596,849
Broward,1,951,260
Calhoun,14,587
Charlotte,184,998
Citrus,147,929
Clay,216,072
Collier,378,488
Columbia,70,503
DeSoto,37,489
Dixie,16,700
Duval,950,181
Escambia,315,534
Flagler,112,067
Franklin,11,736
Gadsden,45,894
Gilchrist,18,256
Glades,13,724
Gulf,16,164
Hamilton,14,310
Hardee,27,245
Hendry,41,556
Hernando,190,865
Highlands,105,424
Hillsborough,1,436,888
Holmes,19,477
Indian River,157,413
Jackson,48,305
Jefferson,14,288
Lafayette,8,732
Lake,356,495
Lee,754,610
Leon,292,502
Levy,40,770
Liberty,8,457
Madison,18,529
Manatee,394,855
Marion,359,977
Martin,160,912
Monroe,75,027
Nassau,85,832
Okaloosa,207,269
Okeechobee,41,537
Orange,1,380,645
Osceola,367,990
Palm Beach,1,485,941
Pasco,539,630
Pinellas,975,280
Polk,708,009
Putnam,74,163
Santa Rosa,179,349
Sarasota,426,718
Seminole,467,832
St. Johns,254,261
St. Lucie,321,128
Sumter,128,754
Suwannee,44,191
Taylor,21,623
Union,14,940
Volusia,547,538
Wakulla,32,461
Walton,71,375
Washington,24,880
